Entity: Movie,,,,,,,,,,,,
,ID,Title,Year,Director,Duration,Genre1,Genre2,Genre3,Genre4,Rate,Poster,Category
,1,Guardians of the Galaxy Vol. 2,2017,1,2h 16min,1,2,3,,7.7/10,https://m.media-amazon.com/images/M/MV5BNjM0NTc0NzItM2FlYS00YzEwLWE0YmUtNTA2ZWIzODc2OTgxXkEyXkFqcGdeQXVyNTgwNzIyNzg@._V1_SX300.jpgg,1
,2,Star Wars: Episode IV - A New Hope,1977,2,2h 1min,1,2,4,5,8.7/10,https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_SX300.jpg,1
,3,The Lord of the Rings: The Fellowship of the Ring,2001,3,2h 58min,1,2,4,6,8.8/10,https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,1
,4,Back to the Future,1985,4,1h 56min,2,3,5,,8.5/10,https://pics.filmaffinity.com/back_to_the_future-100822308-large.jpg,2
,5,Pulp Fiction,1994,5,2h 34min,3,6,7,,8.9/10,https://pics.filmaffinity.com/Pulp_Fiction-210382116-mmed.jpg,2
,6,Forrest Gump,1994,4,2h 22min,3,6,8,,8.8/10,https://pics.filmaffinity.com/Forrest_Gump-212765827-large.jpg,2
,7,Dancer in the Dark,2000,6,2h 20min,6,7,9,,7.9/10,https://pics.filmaffinity.com/dancer_in_the_dark-965435583-large.jpg,2
,8,Big Fish,2003,7,2h 5min,2,4,6,,8.0/10,https://pics.filmaffinity.com/big_fish-838287233-large.jpg,2
,,,,,,,,,,,,
Entity: Director,,,,,,,,,,,,
,ID,Name,,,,,,,,,,
,1,James Gunn,,,,,,,,,,
,2,George Lucas,,,,,,,,,,
,3,Peter Jackson,,,,,,,,,,
,4,Robert Zemeckis,,,,,,,,,,
,5,Quentin Tarantino,,,,,,,,,,
,6,Lars von Trier,,,,,,,,,,
,7,Tim Burton,,,,,,,,,,
,,,,,,,,,,,,
Entity: Genre,,,,,,,,,,,,
,ID,Name,,,,,,,,,,
,1,Action,,,,,,,,,,
,2,Adventure,,,,,,,,,,
,3,Comedy,,,,,,,,,,
,4,Fantasy,,,,,,,,,,
,5,Sci-Fi,,,,,,,,,,
,6,Drama,,,,,,,,,,
,7,Crime,,,,,,,,,,
,8,Romance,,,,,,,,,,
,9,Musical,,,,,,,,,,
,,,,,,,,,,,,
Entity: Category,,,,,,,,,,,,
,ID,Name,,,,,,,,,,
,1,Featured,,,,,,,,,,
,2,Favourites,,,,,,,,,,
